Timestamp,Year,Month,Day,Station,PM2.5 (µg/m³),PM10 (µg/m³),SO2 (µg/m³),NO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),NO (µg/m³),NOx (ppb),NH3 (µg/m³),AQI 
01-Jan-21,2021,1,1,Bandra_kurla_complex_mumbai,194.99,228.7,9.81,66.39,0.91,19.69,25.18,54.87,82.89,186
02-Jan-21,2021,1,2,Bandra_kurla_complex_mumbai,144.54,212.47,2.74,32.35,0.54,10.05,9.38,40.42,65.53,175
03-Jan-21,2021,1,3,Bandra_kurla_complex_mumbai,103.21,187.71,4.87,32.05,0.72,17.17,12.14,41.81,65.05,158
04-Jan-21,2021,1,4,Bandra_kurla_complex_mumbai,123.1,232.74,2.55,35.67,0.6,7.38,9.47,45.11,69.06,188
05-Jan-21,2021,1,5,Bandra_kurla_complex_mumbai,99.01,192.77,1.39,38.28,0.41,6.76,8.02,46.19,69.13,162
06-Jan-21,2021,1,6,Bandra_kurla_complex_mumbai,132.74,283.81,6.23,76.89,0.58,4.88,12.84,50.77,74.74,234
07-Jan-21,2021,1,7,Bandra_kurla_complex_mumbai,150.15,335.87,1.2,33.34,0.54,2.96,20.42,53.44,77.93,286
08-Jan-21,2021,1,8,Bandra_kurla_complex_mumbai,189.66,368.61,0.74,29.78,0.42,3,19.4,49.15,71.7,323
09-Jan-21,2021,1,9,Bandra_kurla_complex_mumbai,177.42,353.35,1.68,31.59,0.44,3.13,19.77,50.91,72.33,304
10-Jan-21,2021,1,10,Bandra_kurla_complex_mumbai,164.8,340.69,4.47,54.12,0.45,3.31,28.15,50.88,75.06,291
11-Jan-21,2021,1,11,Bandra_kurla_complex_mumbai,138.74,313.75,2.44,28.24,0.22,3.31,20.52,48.48,73.64,264
12-Jan-21,2021,1,12,Bandra_kurla_complex_mumbai,130.83,303.27,8.17,59.56,0.21,6.86,26.62,52.79,77.69,253
13-Jan-21,2021,1,13,Bandra_kurla_complex_mumbai,111.38,293.38,2.89,35.44,0.08,3.35,28.27,62.18,85.86,243
14-Jan-21,2021,1,14,Bandra_kurla_complex_mumbai,86.45,247.06,2.27,34.08,0.59,3.45,10.97,44.86,69.28,198
15-Jan-21,2021,1,15,Bandra_kurla_complex_mumbai,73.57,202.43,8.41,65.54,0.66,7.05,7.02,40.19,64.76,168
16-Jan-21,2021,1,16,Bandra_kurla_complex_mumbai,60.86,174.86,3.81,72.1,0.66,3.08,7.69,45.22,70.08,150
17-Jan-21,2021,1,17,Bandra_kurla_complex_mumbai,88.00284091,244.3944318,4.4,33.62,0.45,2.66,9.21,42.53,70.12,196
18-Jan-21,2021,1,18,Bandra_kurla_complex_mumbai,60.62,175.28,3.61,61.85,0.52,2.63,19.69,48.09,79.74,150
19-Jan-21,2021,1,19,Bandra_kurla_complex_mumbai,67.83,280.68,3.09,33.65,1.21,4.58,37.65,71.66,93.29,231
20-Jan-21,2021,1,20,Bandra_kurla_complex_mumbai,101.35,242.94,2.16,24.81,1.43,2.32,54.51,68.54,87.23,195
21-Jan-21,2021,1,21,Bandra_kurla_complex_mumbai,107.22,217.81,2.42,26.89,1.11,2.22,36.13,63.02,77.86,179
22-Jan-21,2021,1,22,Bandra_kurla_complex_mumbai,68.51,259.39,3.63,40.67730159,1.46,7.23,30.45888889,54.33142857,71.62920635,209
23-Jan-21,2021,1,23,Bandra_kurla_complex_mumbai,126.78,243.55,1.53,40.67730159,1.04,12.07,30.45888889,54.33142857,71.62920635,196
24-Jan-21,2021,1,24,Bandra_kurla_complex_mumbai,96.36,184.78,3,40.67730159,0.68,8.93,30.45888889,54.33142857,71.62920635,157
25-Jan-21,2021,1,25,Bandra_kurla_complex_mumbai,51.49,237.32,1.27,40.67730159,0.71,6.84,30.45888889,54.33142857,71.62920635,192
26-Jan-21,2021,1,26,Bandra_kurla_complex_mumbai,46.26,211.5,1.31,40.67730159,0.49,25.38,30.45888889,54.33142857,71.62920635,174
27-Jan-21,2021,1,27,Bandra_kurla_complex_mumbai,114.6,216.76,1.76,40.67730159,0.67,7.85,30.45888889,54.33142857,71.62920635,178
28-Jan-21,2021,1,28,Bandra_kurla_complex_mumbai,115.26,218.4,1.8,40.67730159,0.5,9.91,30.45888889,54.33142857,71.62920635,179
29-Jan-21,2021,1,29,Bandra_kurla_complex_mumbai,63.24,233.23,1.39,40.67730159,0.47,9.57,30.45888889,54.33142857,71.62920635,189
30-Jan-21,2021,1,30,Bandra_kurla_complex_mumbai,106.03,202.01,3.61,40.67730159,0.71,11.87,30.45888889,54.33142857,71.62920635,168
31-Jan-21,2021,1,31,Bandra_kurla_complex_mumbai,117.43,224.73,6.43,40.67730159,0.56,9.66,30.45888889,54.33142857,71.62920635,183
01-Feb-21,2021,2,1,Bandra_kurla_complex_mumbai,103.38,200.47,2.09,40.67730159,0.16,7.03,30.45888889,54.33142857,71.62920635,167
02-Feb-21,2021,2,2,Bandra_kurla_complex_mumbai,93.75,185.63,2.34,40.67730159,0.07,7.1,30.45888889,54.33142857,71.62920635,157
03-Feb-21,2021,2,3,Bandra_kurla_complex_mumbai,116.78,221.72,6,40.67730159,0.15,8.43,30.45888889,54.33142857,71.62920635,181
04-Feb-21,2021,2,4,Bandra_kurla_complex_mumbai,117.77,224.47,1.96,40.67730159,0.58,7.26,30.45888889,54.33142857,71.62920635,183
05-Feb-21,2021,2,5,Bandra_kurla_complex_mumbai,90.12,172.61,1.33,40.67730159,1.34,8.73,30.45888889,54.33142857,71.62920635,148
06-Feb-21,2021,2,6,Bandra_kurla_complex_mumbai,108.58,210.67,4.08,40.67730159,1.47,12.55,30.45888889,54.33142857,71.62920635,174
07-Feb-21,2021,2,7,Bandra_kurla_complex_mumbai,73.41,147.38,5.81,40.67730159,0.78,34.68,30.45888889,54.33142857,71.62920635,132
08-Feb-21,2021,2,8,Bandra_kurla_complex_mumbai,82.77,167.77,1.75,40.67730159,0.71,8.58,30.45888889,54.33142857,71.62920635,145
09-Feb-21,2021,2,9,Bandra_kurla_complex_mumbai,106.84,189.1,5.43,40.67730159,0.98,24.6,30.45888889,54.33142857,71.62920635,159
10-Feb-21,2021,2,10,Bandra_kurla_complex_mumbai,129.44,239.15,5.66,40.67730159,1.56,20.51,30.45888889,54.33142857,71.62920635,193
11-Feb-21,2021,2,11,Bandra_kurla_complex_mumbai,217.02,370.59,6.15,40.67730159,1.55,20.3,30.45888889,54.33142857,71.62920635,326
12-Feb-21,2021,2,12,Bandra_kurla_complex_mumbai,126.95,237.38,3.33,40.67730159,1.06,17.72,30.45888889,54.33142857,71.62920635,192
13-Feb-21,2021,2,13,Bandra_kurla_complex_mumbai,98.54,182.46,5.21,40.67730159,0.28,10.68,30.45888889,54.33142857,71.62920635,155
14-Feb-21,2021,2,14,Bandra_kurla_complex_mumbai,72.27,131.45,4.09,40.67730159,0.23,6.88,30.45888889,54.33142857,71.62920635,121
15-Feb-21,2021,2,15,Bandra_kurla_complex_mumbai,56.44,104.24,1.69,40.67730159,0.23,10.12,30.45888889,54.33142857,71.62920635,103
16-Feb-21,2021,2,16,Bandra_kurla_complex_mumbai,68.75,122.42,5.01,40.67730159,0.19,6.81,30.45888889,54.33142857,71.62920635,115
17-Feb-21,2021,2,17,Bandra_kurla_complex_mumbai,70.15,194.89,1.82,27.01,0.09,5.09,9.9,35.3,64.54,163
18-Feb-21,2021,2,18,Bandra_kurla_complex_mumbai,72.12,352.67,3.94,53.1,0.24,18.22,25.98,47.85,72.71,303
19-Feb-21,2021,2,19,Bandra_kurla_complex_mumbai,66.79,198.51,6.44,47.84,0.44,8.31,16.91,41.29,61.02,166
20-Feb-21,2021,2,20,Bandra_kurla_complex_mumbai,72.12,248.79,6.77,56.26,0.91,10.49,31.5,54.51,73.33,199
21-Feb-21,2021,2,21,Bandra_kurla_complex_mumbai,72.12,214.14,2.75,26.79,0.89,10.72,17.76,44.45,61.86,176
22-Feb-21,2021,2,22,Bandra_kurla_complex_mumbai,71.99,212.42,6.36,50.33,2.02,24.89,25.43,46.53,63.43,175
23-Feb-21,2021,2,23,Bandra_kurla_complex_mumbai,77.76,294.94,11.93,55.51,2.04,17.73,28.31,56.52,73.74,245
24-Feb-21,2021,2,24,Bandra_kurla_complex_mumbai,72.21,361.58,11.31,36.26,2.75,23.86,46.48,72.75,92.1,314
25-Feb-21,2021,2,25,Bandra_kurla_complex_mumbai,72.12,293.57,4.54,57.82,1.79,6.52,37.6,67.79,84.39,244
26-Feb-21,2021,2,26,Bandra_kurla_complex_mumbai,54.97,205.16,3.58,30.1,1.29,6.18,11.73,41.62,59.8,170
27-Feb-21,2021,2,27,Bandra_kurla_complex_mumbai,70.26,184.83,18.21,47.92,1.59,19.13,5.73,29.77,49.14,157
28-Feb-21,2021,2,28,Bandra_kurla_complex_mumbai,88.00284091,244.3944318,6.402808989,40.67730159,0.672359551,12.87573034,30.45888889,54.33142857,71.62920635,196
01-Mar-21,2021,3,1,Bandra_kurla_complex_mumbai,75.78,271.79,1.94,40.07,1.07,15.98,44.21,84.18,106.91,222
02-Mar-21,2021,3,2,Bandra_kurla_complex_mumbai,63.68,309.52,6.48,29.24,0.56,9.72,57.2,85.01,105.65,260
03-Mar-21,2021,3,3,Bandra_kurla_complex_mumbai,68.94,280.03,9.68,69.55,0.41,37.3,42.48,70.47,85.72,230
04-Mar-21,2021,3,4,Bandra_kurla_complex_mumbai,74.18,297.18,6.3,35.81,0.4,26.83,44.13,70.17,84.72,247
05-Mar-21,2021,3,5,Bandra_kurla_complex_mumbai,91.44,365.8,10.23,48.05,0.57,20.91,36.01,62.91,80.54,320
06-Mar-21,2021,3,6,Bandra_kurla_complex_mumbai,64.94,277.77,1.2,15.34,0.31,6.15,11.86,27.07,45.5,228
07-Mar-21,2021,3,7,Bandra_kurla_complex_mumbai,51.28,269.01,2.76,35.63,0.63,9.11,46.84,58.63,75.71,219
08-Mar-21,2021,3,8,Bandra_kurla_complex_mumbai,53.69,230.38,12.11,55.52,0.7,6,63.88,80.13,93.94,187
09-Mar-21,2021,3,9,Bandra_kurla_complex_mumbai,57.54,270.03,9.1,28.74,0.65,14.93,50.68,68.31,81.75,220
10-Mar-21,2021,3,10,Bandra_kurla_complex_mumbai,58.05,232.85,5.04,27.27,0.37,6.31,41.25,60.17,74.75,189
11-Mar-21,2021,3,11,Bandra_kurla_complex_mumbai,45.51,202.62,3.93,21.08,0.15,5.46,19.96,40.95,53.31,168
12-Mar-21,2021,3,12,Bandra_kurla_complex_mumbai,54.84,219.02,8.65,41.6,0.26,6.63,47.62,60.04,70.35,179
13-Mar-21,2021,3,13,Bandra_kurla_complex_mumbai,76.08,279.56,12.36,53.55,0.15,31.52,35.95,56.75,65.76,230
